"beserver","timestamp","durationmin","durationmax","durationavg"
"VI1PR0402MB3646","06.03.2018 13:45:01","305,4044","342,6559","312,63855"
"VI1PR0402MB3646","06.03.2018 13:45:11","304,3559","534,4193","331,19287"
"VI1PR0402MB3646","06.03.2018 13:45:21","304,7957","614,6361","355,96879"
"VI1PR0402MB3646","06.03.2018 13:45:31","305,1147","307,5426","306,50011"
"VI1PR0402MB3646","06.03.2018 13:45:41","305,4738","308,6475","306,95204"
"VI1PR0402MB3646","06.03.2018 13:45:51","303,531","311,5485","306,60123"
"VI1PR0402MB3646","06.03.2018 13:46:01","302,754","312,5022","307,05366"
"VI1PR0402MB3646","06.03.2018 13:46:11","305,1581","314,012","308,77209"
"VI1PR0402MB3646","06.03.2018 13:46:24","304,0867","3818,2003","686,47739"
"VI1PR0402MB3646","06.03.2018 13:46:34","303,4386","2803,5463","557,94442"
"VI1PR0402MB3646","06.03.2018 13:46:46","304,3362","323,5497","311,58682"
"VI1PR0402MB3646","06.03.2018 13:46:56","304,7799","314,2793","307,38825"
"VI1PR0402MB3646","06.03.2018 13:47:06","305,0878","322,1113","309,713"
"VI1PR0402MB3646","06.03.2018 13:47:16","305,1659","316,9181","308,96285"
"VI1PR0402MB3646","06.03.2018 13:47:26","306,3281","550,6359","341,70571"
"VI1PR0402MB3646","06.03.2018 13:47:36","303,6735","379,5071","315,10287"
"VI1PR0402MB3646","06.03.2018 13:47:46","305,7356","329,3006","312,63072"
"VI1PR0402MB3646","06.03.2018 13:47:56","304,6539","327,2678","310,09161"
"VI1PR0402MB3646","06.03.2018 13:48:06","303,9785","424,181","318,54329"
"VI1PR0402MB3646","06.03.2018 13:48:16","304,1341","318,6925","307,69106"
"VI1PR0402MB3646","06.03.2018 13:48:26","303,4035","320,4298","307,92693"
"VI1PR0402MB3646","06.03.2018 13:48:37","305,104","1613,7479","476,13045"
"VI1PR0402MB3646","06.03.2018 13:48:47","304,7511","316,7365","307,55864"
"VI1PR0402MB3646","06.03.2018 13:48:57","303,1895","310,6733","306,40974"
"VI1PR0402MB3646","06.03.2018 13:49:07","303,4184","312,4517","306,68213"
"VI1PR0402MB3646","06.03.2018 13:49:17","302,4158","316,7286","306,46302"
"VI1PR0402MB3646","06.03.2018 13:49:27","304,6828","325,7863","310,52303"
"VI1PR0402MB3646","06.03.2018 13:49:37","304,2561","316,7788","309,37411"
"VI1PR0402MB3646","06.03.2018 13:49:47","305,49","504,7369","361,26155"
"VI1PR0402MB3646","06.03.2018 13:49:57","304,3966","386,5449","321,92893"
"VI1PR0402MB3646","06.03.2018 13:50:07","304,2723","336,3515","309,21117"
"VI1PR0402MB3646","06.03.2018 13:50:17","305,4628","317,6504","309,79414"
"VI1PR0402MB3646","06.03.2018 13:50:27","303,4784","438,0287","319,28505"
"VI1PR0402MB3646","06.03.2018 13:50:37","303,6411","312,0143","306,24947"
"VI1PR0402MB3646","06.03.2018 13:50:47","305,9704","503,154","356,53177"
"VI1PR0402MB3646","06.03.2018 13:50:57","304,9871","386,2059","315,67275"
"VI1PR0402MB3646","06.03.2018 13:51:07","305,408","315,5137","309,8011"
"VI1PR0402MB3646","06.03.2018 13:51:17","305,2311","311,7553","307,90387"
"VI1PR0402MB3646","06.03.2018 13:51:27","304,9295","889,1806","367,99434"
"VI1PR0402MB3646","06.03.2018 13:51:37","303,5905","314,5193","308,87756"
"VI1PR0402MB3646","06.03.2018 13:51:47","304,1092","309,396","306,52433"
"VI1PR0402MB3646","06.03.2018 13:51:57","304,9303","321,8192","307,75704"
"VI1PR0402MB3646","06.03.2018 13:52:07","303,844","315,4083","307,122"
"VI1PR0402MB3646","06.03.2018 13:52:17","304,9895","330,494","309,56645"
"VI1PR0402MB3646","06.03.2018 13:52:27","303,148","313,6777","306,44616"
"VI1PR0402MB3646","06.03.2018 13:52:37","304,0599","319,6316","307,99212"
"VI1PR0402MB3646","06.03.2018 13:52:47","304,0397","334,7326","308,43411"
"VI1PR0402MB3646","06.03.2018 13:52:58","303,4564","1008,8121","403,27848"
"VI1PR0402MB3646","06.03.2018 13:53:08","305,1375","320,534","310,14752"
"VI1PR0402MB3646","06.03.2018 13:53:18","305,194","325,0289","311,64758"
"VI1PR0402MB3646","06.03.2018 13:53:31","296,8875","3802,5784","660,71021"
"VI1PR0402MB3646","06.03.2018 13:53:41","305,3901","318,5902","308,22778"
"VI1PR0402MB3646","06.03.2018 13:53:51","303,2791","347,5155","310,36004"
"VI1PR0402MB3646","06.03.2018 13:54:01","304,9023","316,5995","308,31577"
"VI1PR0402MB3646","06.03.2018 13:54:11","305,2863","801,0528","358,48636"
"VI1PR0402MB3646","06.03.2018 13:54:21","304,3062","322,3892","308,29323"
"VI1PR0402MB3646","06.03.2018 13:54:31","304,9003","336,1095","310,72969"
"VI1PR0402MB3646","06.03.2018 13:54:41","304,894","393,2586","320,96099"
"VI1PR0402MB3646","06.03.2018 13:54:51","303,6983","330,0128","311,25168"
"VI1PR0402MB3646","06.03.2018 13:55:01","304,1206","530,8513","338,61597"
"VI1PR0402MB3646","06.03.2018 13:55:11","303,4962","307,7874","305,4453"
"VI1PR0402MB3646","06.03.2018 13:55:21","304,1799","348,631","311,53177"
"VI1PR0402MB3646","06.03.2018 13:55:31","304,0283","309,902","306,82948"
"VI1PR0402MB3646","06.03.2018 13:55:41","304,033","323,7199","308,18095"
"VI1PR0402MB3646","06.03.2018 13:55:51","304,4479","343,9132","312,61735"
"VI1PR0402MB3646","06.03.2018 13:56:01","303,6735","444,9548","340,48835"
"VI1PR0402MB3646","06.03.2018 13:56:11","306,0426","501,6658","360,25489"
"VI1PR0402MB3646","06.03.2018 13:56:21","304,0035","544,5708","408,10416"
"VI1PR0402MB3646","06.03.2018 13:56:31","304,2893","309,2215","306,56282"
"VI1PR0402MB3646","06.03.2018 13:56:41","304,3635","329,7881","311,06486"
