"timestamp","durationavgms","durationmaxms","durationminms","totalchecks","beserver"
"2019-01-15 12:36:00","299","1267","201","60","AM6PR04MB5013"
"2019-01-15 12:37:03","429","1296","207","60","AM6PR04MB5013"
"2019-01-15 12:38:07","348","3721","199","60","AM6PR04MB5013"
"2019-01-15 12:39:07","315","963","201","60","AM6PR04MB5013"
"2019-01-15 12:40:14","461","1502","210","60","AM6PR04MB5013"
"2019-01-15 12:41:15","320","984","198","60","AM6PR04MB5013"
"2019-01-15 12:42:20","402","1972","197","60","AM6PR04MB5013"
"2019-01-15 12:43:27","487","3933","202","60","AM6PR04MB5013"
"2019-01-15 12:44:46","674","3811","202","60","AM6PR04MB5013"
"2019-01-15 12:45:46","309","813","202","60","AM6PR04MB5013"
"2019-01-15 12:46:47","301","1031","205","60","AM6PR04MB5013"
"2019-01-15 12:47:51","387","1111","202","60","AM6PR04MB5013"
"2019-01-15 12:48:51","323","943","204","60","AM6PR04MB5013"
"2019-01-15 12:49:53","331","1026","201","60","AM6PR04MB5013"
"2019-01-15 12:50:55","441","2728","200","60","AM6PR04MB5013"
"2019-01-15 12:51:55","244","476","194","60","AM6PR04MB5013"
"2019-01-15 12:52:56","295","1460","194","60","AM6PR04MB5013"
"2019-01-15 12:54:00","393","1219","196","60","AM6PR04MB5013"
"2019-01-15 12:55:03","376","1221","200","60","AM6PR04MB5013"
"2019-01-15 12:56:03","324","851","198","60","AM6PR04MB5013"
"2019-01-15 12:57:03","293","884","198","60","AM6PR04MB5013"
"2019-01-15 12:58:03","251","433","205","60","AM6PR04MB5013"
"2019-01-15 12:59:03","237","389","202","60","AM6PR04MB5013"
"2019-01-15 13:00:05","380","1250","199","60","AM6PR04MB5013"
"2019-01-15 13:01:08","294","3813","193","60","AM6PR04MB5013"
"2019-01-15 13:02:10","329","977","196","60","AM6PR04MB5013"
"2019-01-15 13:03:11","264","964","195","60","AM6PR04MB5013"
"2019-01-15 13:04:15","388","1468","151","60","AM6PR04MB5013"
"2019-01-15 13:05:17","294","1243","196","60","AM6PR04MB5013"
"2019-01-15 13:06:17","293","819","198","60","AM6PR04MB5013"
"2019-01-15 13:07:17","262","699","202","60","AM6PR04MB5013"
"2019-01-15 13:08:18","288","1040","203","60","AM6PR04MB5013"
"2019-01-15 13:09:19","337","1147","204","60","AM6PR04MB5013"
"2019-01-15 13:10:19","267","816","201","60","AM6PR04MB5013"
"2019-01-15 13:11:20","324","1957","198","60","AM6PR04MB5013"
"2019-01-15 13:17:16","5306","282722","191","60","AM6PR04MB5013"
"2019-01-15 13:18:24","491","4690","188","60","AM6PR04MB5013"
"2019-01-15 13:19:24","274","632","193","60","AM6PR04MB5013"
"2019-01-15 13:20:27","331","1833","201","60","AM6PR04MB5013"
"2019-01-15 13:21:27","272","676","198","60","AM6PR04MB5013"
"2019-01-15 13:22:27","261","850","192","60","AM6PR04MB5013"
"2019-01-15 13:23:29","357","1011","199","60","AM6PR04MB5013"
"2019-01-15 13:24:31","391","1074","200","60","AM6PR04MB5013"
"2019-01-15 13:25:35","308","4285","200","60","AM6PR04MB5013"
"2019-01-15 13:26:38","290","3296","198","60","AM6PR04MB5013"
"2019-01-15 13:27:41","287","3236","199","60","AM6PR04MB5013"
"2019-01-15 13:28:44","307","3491","200","60","AM6PR04MB5013"
"2019-01-15 13:29:50","382","3459","201","60","AM6PR04MB5013"
"2019-01-15 13:30:53","463","1414","222","60","AM6PR04MB5013"
"2019-01-15 13:32:00","483","2262","264","60","AM6PR04MB5013"
"2019-01-15 13:33:04","484","2241","256","60","AM6PR04MB5013"
"2019-01-15 13:34:05","393","1016","258","60","AM6PR04MB5013"
"2019-01-15 13:35:05","238","457","193","60","AM6PR04MB5013"
"2019-01-15 13:36:05","248","499","194","60","AM6PR04MB5013"
"2019-01-15 13:37:05","234","430","195","60","AM6PR04MB5013"
"2019-01-15 13:38:09","301","3976","188","60","AM6PR04MB5013"
"2019-01-15 13:39:09","263","501","186","60","AM6PR04MB5013"
"2019-01-15 13:40:13","296","4043","125","60","AM6PR04MB5013"
"2019-01-15 13:41:14","255","1951","187","60","AM6PR04MB5013"
"2019-01-15 13:42:15","259","1631","188","60","AM6PR04MB5013"
"2019-01-15 13:43:16","276","1078","188","60","AM6PR04MB5013"
"2019-01-15 13:44:19","322","3545","190","60","AM6PR04MB5013"
"2019-01-15 13:45:19","249","770","186","60","AM6PR04MB5013"
"2019-01-15 13:46:19","204","251","187","60","AM6PR04MB5013"
"2019-01-15 13:47:19","240","600","188","60","AM6PR04MB5013"
"2019-01-15 13:48:19","220","477","190","60","AM6PR04MB5013"
"2019-01-15 13:49:19","226","398","186","60","AM6PR04MB5013"
"2019-01-15 13:50:19","226","399","188","60","AM6PR04MB5013"
"2019-01-15 13:51:19","218","381","187","60","AM6PR04MB5013"
"2019-01-15 13:52:20","249","1953","190","60","AM6PR04MB5013"
"2019-01-15 13:53:20","214","301","190","60","AM6PR04MB5013"
"2019-01-15 13:54:20","213","319","190","60","AM6PR04MB5013"
"2019-01-15 13:55:21","256","1015","190","60","AM6PR04MB5013"
"2019-01-15 13:56:23","254","2366","191","60","AM6PR04MB5013"
"2019-01-15 13:57:23","214","290","188","60","AM6PR04MB5013"
"2019-01-15 13:58:23","223","326","189","60","AM6PR04MB5013"
"2019-01-15 13:59:23","221","432","191","60","AM6PR04MB5013"
"2019-01-15 14:00:23","233","542","190","60","AM6PR04MB5013"
"2019-01-15 14:02:17","1214","8141","190","60","AM6PR04MB5013"
"2019-01-15 14:03:49","818","3400","188","60","AM6PR04MB5013"
"2019-01-15 14:04:49","218","339","193","60","AM6PR04MB5013"
"2019-01-15 14:05:49","222","299","190","60","AM6PR04MB5013"
"2019-01-15 14:06:49","226","421","190","60","AM6PR04MB5013"
"2019-01-15 14:07:49","242","500","193","60","AM6PR04MB5013"
"2019-01-15 14:08:49","253","744","194","60","AM6PR04MB5013"
"2019-01-15 14:09:53","307","2034","192","60","AM6PR04MB5013"
"2019-01-15 14:10:53","237","408","193","60","AM6PR04MB5013"
"2019-01-15 14:11:53","240","425","197","60","AM6PR04MB5013"
"2019-01-15 14:12:53","244","445","196","60","AM6PR04MB5013"
"2019-01-15 14:13:53","285","593","197","60","AM6PR04MB5013"
"2019-01-15 14:14:56","320","2490","194","60","AM6PR04MB5013"
"2019-01-15 14:15:56","238","455","194","60","AM6PR04MB5013"
"2019-01-15 14:17:01","435","4991","198","60","AM6PR04MB5013"
"2019-01-15 14:18:01","236","727","193","60","AM6PR04MB5013"
"2019-01-15 14:19:01","264","600","195","60","AM6PR04MB5013"
"2019-01-15 14:20:02","270","1080","193","60","AM6PR04MB5013"
"2019-01-15 14:21:02","263","880","193","60","AM6PR04MB5013"
"2019-01-15 14:22:02","242","895","196","60","AM6PR04MB5013"
"2019-01-15 14:23:02","223","464","194","60","AM6PR04MB5013"
"2019-01-15 14:24:02","222","336","197","60","AM6PR04MB5013"
"2019-01-15 14:25:03","243","1634","195","60","AM6PR04MB5013"
"2019-01-15 14:26:04","308","1077","188","60","AM6PR04MB5013"
"2019-01-15 14:27:04","220","433","187","60","AM6PR04MB5013"
"2019-01-15 14:28:04","214","310","195","60","AM6PR04MB5013"
"2019-01-15 14:29:04","218","359","192","60","AM6PR04MB5013"
"2019-01-15 14:30:05","233","1637","185","60","AM6PR04MB5013"
"2019-01-15 14:31:08","288","3780","195","60","AM6PR04MB5013"
"2019-01-15 14:32:08","217","359","194","60","AM6PR04MB5013"
"2019-01-15 14:33:08","216","401","192","60","AM6PR04MB5013"
"2019-01-15 14:34:08","215","361","190","60","AM6PR04MB5013"
"2019-01-15 14:35:08","212","273","186","60","AM6PR04MB5013"
"2019-01-15 14:36:09","320","1001","196","60","AM6PR04MB5013"
"2019-01-15 14:37:09","266","505","189","60","AM6PR04MB5013"
"2019-01-15 14:38:09","325","752","200","60","AM6PR04MB5013"
"2019-01-15 14:39:09","321","842","230","60","AM6PR04MB5013"
"2019-01-15 14:40:10","349","1432","242","60","AM6PR04MB5013"
"2019-01-15 14:41:16","414","4006","190","60","AM6PR04MB5013"
"2019-01-15 14:42:16","233","527","189","60","AM6PR04MB5013"
"2019-01-15 14:43:16","219","300","185","60","AM6PR04MB5013"
"2019-01-15 14:44:16","231","437","185","60","AM6PR04MB5013"
"2019-01-15 14:45:16","224","378","191","60","AM6PR04MB5013"
"2019-01-15 14:46:16","222","351","192","60","AM6PR04MB5013"
"2019-01-15 14:47:16","250","506","190","60","AM6PR04MB5013"
"2019-01-15 14:48:17","238","1188","188","60","AM6PR04MB5013"
"2019-01-15 14:49:17","234","429","190","60","AM6PR04MB5013"
