"AverageJitterInMsAvg","RoundTripLatencyMaxInMs","Packetssentcount","PacketLossRateMax","RoundTripLatencyAvgInMs","PacketLossRateAvg","PacketReorderRatioAvg","PacketReorderRatioMax","Packetssentsum","AverageJitterInMsMax"
"0","0","0","0","0","0","0","0","0","0"
"7","30","1","0","30","0","0","0","283","7"
"6","28","1","0","28","0","0","0","851","6"
"5","28","1","0","28","0","0","0","283","5"
"6","26","1","0","26","0","0","0","851","6"
"0","0","0","0","0","0","0","0","0","0"
"9","30","1","0","30","0","0","0","284","9"
"10","30","1","0","30","0","0","0","851","10"
"8","29","1","0","29","0","0","0","283","8"
"5","26","1","0","26","0","0","0","283","5"
"8","25","1","0","25","0","0","0","283","8"
"12","24","1","0","24","0","0","0","851","12"
"9","29","1","0","29","0","0","0","851","9"
"9","26","1","0","26","0","0","0","283","9"
"5","28","1","0","28","0","0","0","283","5"
"4","30","1","0","30","0","0","0","851","4"
"5","30","1","0","30","0","0","0","851","5"
"6","28","1","0","28","0","0","0","283","6"
"6","29","1","0","29","0","0","0","851","6"
"0","0","0","0","0","0","0","0","0","0"
"8","24","1","0","24","0","0","0","283","8"
"0","0","0","0","0","0","0","0","0","0"
"9","30","1","0","30","0","0","0","850","9"
"9","28","1","0","28","0","0","0","851","9"
"6","29","1","0","29","0","0","0","851","6"
"11","26","1","0","26","0","0","0","284","11"
"6","31","1","0","31","0","0","0","851","6"
"6","27","1","0","27","0","0","0","851","6"
"5","28","1","0","28","0","0","0","283","5"
"9","24","1","0","24","0","0","0","851","9"
"10","24","1","0","24","0","0","0","851","10"
"10","28","1","0","28","0","0","0","851","10"
"6","24","1","0","24","0","0","0","283","6"
"7","28","1","0","28","0","0","0","851","7"
"5","28","1","0","28","0","0","0","283","5"
"7","26","1","0","26","0","0","0","283","7"
"7","24","1","0","24","0","0","0","851","7"
"6","32","1","0","32","0","0","0","283","6"
"9","30","1","0","30","0","0","0","851","9"
"8","24","1","0","24","0","0","0","283","8"
"19","30","1","0","30","0","0","0","283","19"
"15","32","1","0","32","0","0","0","851","15"
"77","161","1","0","161","0","0","0","283","77"
"18","36","1","0","36","0","0","0","283","18"
"7","30","1","0","30","0","0","0","283","7"
"7","23","1","0","23","0","0","0","283","7"
"4","28","1","0","28","0","0","0","283","4"
"7","23","1","0","23","0","0","0","283","7"
"6","28","1","0","28","0","0","0","283","6"
"0","0","0","0","0","0","0","0","0","0"
"4","25","1","0","25","0","0","0","851","4"
"7","24","1","0","24","0","0","0","851","7"
"5","25","1","0","25","0","0","0","283","5"
"5","23","1","0","23","0","0","0","283","5"
"7","28","1","0","28","0","0","0","283","7"
"7","23","1","0","23","0","0","0","283","7"
"4","30","1","0","30","0","0","0","851","4"
"5","28","1","0","28","0","0","0","851","5"
"7","56","1","0","56","0","0","0","283","7"
"7","23","1","0","23","0","0","0","851","7"
"7","30","1","0","30","0","0","0","851","7"
"7","22","1","0","22","0","0","0","851","7"
"4","23","1","0","23","0","0","0","283","4"
"7","22","1","0","22","0","0","0","283","7"
"7","28","1","0","28","0","0","0","283","7"
"9","30","1","0","30","0","0","0","851","9"
"4","22","1","0","22","0","0","0","851","4"
"7","30","1","0","30","0","0","0","283","7"
"7","23","1","0","23","0","0","0","851","7"
"4","28","1","0","28","0","0","0","851","4"
"7","25","1","0","25","0","0","0","283","7"
"9","25","1","0","25","0","0","0","851","9"
"10","26","1","0","26","0","0","0","283","10"
"5","24","1","0","24","0","0","0","851","5"
"0","0","0","0","0","0","0","0","0","0"
"8","26","1","0","26","0","0","0","851","8"
"9","24","1","0","24","0","0","0","851","9"
"5","30","1","0","30","0","0","0","283","5"
"10","28","1","0","28","0","0","0","851","10"
"7","28","1","0","28","0","0","0","283","7"
"3","28","1","0","28","0","0","0","851","3"
"6","28","1","0","28","0","0","0","283","6"
"6","29","1","0","29","0","0","0","283","6"
"4","30","1","0","30","0","0","0","851","4"
"7","28","1","0","28","0","0","0","851","7"
"7","23","1","0","23","0","0","0","851","7"
"6","23","1","0","23","0","0","0","851","6"
"5","28","1","0","28","0","0","0","851","5"
"6","28","1","0","28","0","0","0","851","6"
"7","30","1","0","30","0","0","0","851","7"
"0","0","0","0","0","0","0","0","0","0"
"8","23","1","0","23","0","0","0","851","8"
"3","24","1","0","24","0","0","0","851","3"
"3","24","1","0","24","0","0","0","283","3"
"6","28","1","0","28","0","0","0","851","6"
"19","23","1","0","23","0","0","0","283","19"
"3","28","1","0","28","0","0","0","851","3"
"0","0","0","0","0","0","0","0","0","0"
"4","25","1","0","25","0","0","0","851","4"
"6","30","1","0","30","0","0","0","283","6"
"8","25","1","0","25","0","0","0","283","8"
"7","24","1","0","24","0","0","0","283","7"
"6","31","1","0","31","0","0","0","851","6"
"10","23","1","0","23","0","0","0","851","10"
"7","28","1","0","28","0","0","0","851","7"
"4","23","1","0","23","0","0","0","283","4"
"6","23","1","0","23","0","0","0","851","6"
"6","30","1","0","30","0","0","0","851","6"
"7","30","1","0","30","0","0","0","283","7"
"6","28","1","0","28","0","0","0","283","6"
"7","27","1","0","27","0","0","0","283","7"
"5","23","1","0","23","0","0","0","283","5"
"3","30","1","0","30","0","0","0","283","3"
"7","26","1","0","26","0","0","0","851","7"
"7","23","1","0","23","0","0","0","283","7"
"4","30","1","0","30","0","0","0","851","4"
"4","24","1","0","24","0","0","0","283","4"
"6","24","1","0","24","0","0","0","851","6"
"3","30","1","0","30","0","0","0","283","3"
"7","28","1","0","28","0","0","0","851","7"
"4","25","1","0","25","0","0","0","283","4"
"12","25","1","0","25","0","0","0","283","12"
"3","23","1","0","23","0","0","0","851","3"
"9","23","1","0","23","0","0","0","283","9"
"7","27","1","0","27","0","0","0","851","7"
