"CallStartTime","PacketLossRate","RoundTripLatencyInMs","PacketsSent","PacketsReceived","AverageJitterInMs","PacketReorderRatio"
"07.05.2018 12:10:12","0","31,5","283","283","6,506675","0"
"07.05.2018 12:10:38","0","31","851","851","6,202857","0"
"07.05.2018 12:11:04","0","29,5","850","850","6,020112","0"
"07.05.2018 12:11:30","0","24","283","283","9,955439","0"
"07.05.2018 12:11:56","0","30,5","283","283","9,447585","0"
"07.05.2018 12:12:23","0","30","851","851","8,342887","0"
"07.05.2018 12:12:49","0","24","851","851","9,362147","0"
"07.05.2018 12:13:23","0","24,5","851","851","9,365435","0"
"07.05.2018 12:13:49","0","29","283","283","8,743213","0"
"07.05.2018 12:14:15","0","26,5","851","851","9,744619","0"
"07.05.2018 12:14:41","0","31","283","283","8,143671","0"
"07.05.2018 12:15:07","0","25,5","851","851","5,516658","0"
"07.05.2018 12:15:33","0","25,5","851","851","6,222213","0"
"07.05.2018 12:16:00","0","31","851","851","11,52801","0"
"07.05.2018 12:16:34","0","29,5","283","283","7,427304","0"
"07.05.2018 12:17:00","0","28,5","851","851","6,489669","0"
"07.05.2018 12:17:26","0","28,5","283","283","4,825504","0"
"07.05.2018 12:17:52","0","26,5","851","851","5,575824","0"
"07.05.2018 12:18:26","0","30,5","284","284","9,284606","0"
"07.05.2018 12:18:52","0","29,5","851","851","9,618552","0"
"07.05.2018 12:19:19","0","29","283","283","7,94873","0"
"07.05.2018 12:19:45","0","25,5","283","283","5,336438","0"
"07.05.2018 12:20:11","0","25","283","283","7,556358","0"
"07.05.2018 12:20:37","0","24","851","851","12,19631","0"
"07.05.2018 12:21:03","0","29","851","851","9,378337","0"
"07.05.2018 12:21:29","0","25,5","283","283","9,397231","0"
"07.05.2018 12:21:55","0","28,5","283","283","5,069801","0"
"07.05.2018 12:22:21","0","30","851","851","4,468102","0"
"07.05.2018 12:22:47","0","30","851","851","5,226653","0"
"07.05.2018 12:23:13","0","28","283","283","5,634765","0"
"07.05.2018 12:23:40","0","29","851","851","6,368587","0"
"07.05.2018 12:24:14","0","24","283","283","8,423802","0"
"07.05.2018 12:24:48","0","30","850","850","8,857975","0"
"07.05.2018 12:25:14","0","28","851","851","9,30463","0"
"07.05.2018 12:25:40","0","29","851","851","6,191169","0"
"07.05.2018 12:26:06","0","25,5","284","284","10,60917","0"
"07.05.2018 12:26:33","0","31","851","851","5,859822","0"
"07.05.2018 12:26:59","0","27","851","851","6,433697","0"
"07.05.2018 12:27:25","0","28,5","283","283","4,903233","0"
"07.05.2018 12:27:51","0","24,5","851","851","9,179359","0"
"07.05.2018 12:28:18","0","24","851","851","9,862244","0"
"07.05.2018 12:28:44","0","28","851","851","10,44052","0"
"07.05.2018 12:29:10","0","23,5","283","283","5,678423","0"
"07.05.2018 12:29:36","0","28,5","851","851","6,631859","0"
"07.05.2018 12:30:02","0","28,5","283","283","5,084585","0"
"07.05.2018 12:30:28","0","25,5","283","283","7,282528","0"
"07.05.2018 12:30:54","0","24","851","851","6,638386","0"
"07.05.2018 12:31:20","0","31,5","283","283","5,84424","0"
"07.05.2018 12:31:47","0","30","851","851","9,478339","0"
"07.05.2018 12:32:13","0","24","283","283","7,737619","0"
"07.05.2018 12:32:39","0","30","283","283","18,66952","0"
"07.05.2018 12:33:05","0","32","851","851","15,01202","0"
"07.05.2018 12:33:31","0","161","283","283","76,91866","0"
"07.05.2018 12:33:57","0","35,5","283","283","18,33239","0"
"07.05.2018 12:34:23","0","30","283","283","6,973819","0"
"07.05.2018 12:34:49","0","23","283","283","7,260882","0"
"07.05.2018 12:35:15","0","27,5","283","283","3,964845","0"
"07.05.2018 12:35:41","0","23","283","283","6,528954","0"
"07.05.2018 12:36:08","0","27,5","283","283","6,080472","0"
"07.05.2018 12:36:42","0","25","851","851","3,608316","0"
"07.05.2018 12:37:08","0","23,5","851","851","7,34612","0"
"07.05.2018 12:37:34","0","25","283","283","4,760196","0"
"07.05.2018 12:38:00","0","23","283","283","5,073163","0"
"07.05.2018 12:38:26","0","27,5","283","283","6,793445","0"
"07.05.2018 12:38:52","0","23","283","283","7,143276","0"
"07.05.2018 12:39:18","0","29,5","851","851","3,991237","0"
"07.05.2018 12:39:44","0","28","851","851","5,152977","0"
"07.05.2018 12:40:11","0","55,5","283","283","6,770928","0"
"07.05.2018 12:40:37","0","23","851","851","7,227933","0"
"07.05.2018 12:41:03","0","30","851","851","7,182047","0"
"07.05.2018 12:41:29","0","22,5","851","851","7,434762","0"
"07.05.2018 12:41:55","0","23","283","283","3,69317","0"
"07.05.2018 12:42:21","0","22,5","283","283","7,407349","0"
"07.05.2018 12:42:47","0","27,5","283","283","6,79026","0"
"07.05.2018 12:43:13","0","30,5","851","851","8,563341","0"
"07.05.2018 12:43:39","0","22,5","851","851","3,948725","0"
"07.05.2018 12:44:05","0","30","283","283","6,835474","0"
"07.05.2018 12:44:31","0","23","851","851","6,609518","0"
"07.05.2018 12:44:58","0","28,5","851","851","3,719095","0"
"07.05.2018 12:45:24","0","25","283","283","6,69126","0"
"07.05.2018 12:45:50","0","25","851","851","9,035072","0"
"07.05.2018 12:46:16","0","26","283","283","10,2048","0"
"07.05.2018 12:46:42","0","23,5","851","851","5,157806","0"
"07.05.2018 12:47:16","0","26","851","851","7,569063","0"
"07.05.2018 12:47:42","0","23,5","851","851","8,804314","0"
"07.05.2018 12:48:08","0","29,5","283","283","5,269399","0"
"07.05.2018 12:48:34","0","28","851","851","9,940843","0"
"07.05.2018 12:49:01","0","28,5","283","283","7,372904","0"
"07.05.2018 12:49:27","0","27,5","851","851","2,598734","0"
"07.05.2018 12:49:53","0","27,5","283","283","6,057517","0"
"07.05.2018 12:50:19","0","29","283","283","5,675802","0"
"07.05.2018 12:50:45","0","30","851","851","3,633833","0"
"07.05.2018 12:51:11","0","27,5","851","851","7,481181","0"
"07.05.2018 12:51:37","0","23","851","851","7,493418","0"
"07.05.2018 12:52:03","0","23","851","851","5,84534","0"
"07.05.2018 12:52:29","0","27,5","851","851","4,633075","0"
"07.05.2018 12:52:55","0","27,5","851","851","5,566644","0"
"07.05.2018 12:53:21","0","30","851","851","6,897311","0"
"07.05.2018 12:53:56","0","23","851","851","7,948938","0"
"07.05.2018 12:54:22","0","24,5","851","851","2,637451","0"
"07.05.2018 12:54:48","0","23,5","283","283","3,008327","0"
"07.05.2018 12:55:14","0","27,5","851","851","5,705975","0"
"07.05.2018 12:55:40","0","23","283","283","19,27738","0"
"07.05.2018 12:56:06","0","27,5","851","851","2,758071","0"
"07.05.2018 12:56:41","0","25","851","851","3,715476","0"
"07.05.2018 12:57:08","0","30","283","283","5,524053","0"
"07.05.2018 12:57:34","0","25","283","283","8,189776","0"
"07.05.2018 12:58:00","0","23,5","283","283","6,738205","0"
"07.05.2018 12:58:26","0","31","851","851","6,276036","0"
"07.05.2018 12:58:52","0","23","851","851","10,39794","0"
"07.05.2018 12:59:18","0","27,5","851","851","6,882087","0"
"07.05.2018 12:59:44","0","23","283","283","3,678801","0"
"07.05.2018 13:00:10","0","23","851","851","5,952079","0"
"07.05.2018 13:00:36","0","30","851","851","5,920067","0"
"07.05.2018 13:01:02","0","29,5","283","283","6,505325","0"
"07.05.2018 13:01:28","0","27,5","283","283","6,106588","0"
"07.05.2018 13:01:54","0","27","283","283","7,103868","0"
"07.05.2018 13:02:21","0","23","283","283","5,44574","0"
"07.05.2018 13:02:47","0","29,5","283","283","2,633145","0"
"07.05.2018 13:03:13","0","25,5","851","851","7,079131","0"
"07.05.2018 13:03:39","0","23","283","283","7,008305","0"
"07.05.2018 13:04:05","0","29,5","851","851","3,753901","0"
"07.05.2018 13:04:31","0","23,5","283","283","3,976051","0"
"07.05.2018 13:04:57","0","24,5","851","851","6,480029","0"
"07.05.2018 13:05:23","0","30","283","283","2,826454","0"
"07.05.2018 13:05:49","0","28","851","851","7,297415","0"
"07.05.2018 13:06:15","0","25","283","283","4,277165","0"
"07.05.2018 13:06:41","0","25","283","283","12,33701","0"
"07.05.2018 13:07:08","0","23","851","851","3,26212","0"
"07.05.2018 13:07:34","0","23","283","283","9,157868","0"
"07.05.2018 13:08:00","0","27","851","851","7,048439","0"
"07.05.2018 13:08:26","0","27,5","851","851","6,385159","0"
"07.05.2018 13:08:52","0","30","851","851","2,746593","0"
"07.05.2018 13:09:18","0","25","851","851","4,192397","0"
"07.05.2018 13:09:44","0","28,5","851","851","8,844934","0"
"07.05.2018 13:10:10","0","30","283","283","5,552201","0"
"07.05.2018 13:10:44","0","26,5","283","283","12,72708","0"
"07.05.2018 13:11:11","0","23","850","850","6,992275","0"
"07.05.2018 13:11:37","0","30","283","283","9,60282","0"
"07.05.2018 13:12:03","0","24","851","851","3,622348","0"
"07.05.2018 13:12:37","0","29,5","283","283","9,00161","0"
"07.05.2018 13:13:03","0","27,5","283","283","3,406651","0"
"07.05.2018 13:13:37","0","30","850","850","9,719884","0"
"07.05.2018 13:14:03","0","29,5","283","283","6,060596","0"
"07.05.2018 13:14:29","0","23","851","851","8,31593","0"
"07.05.2018 13:14:56","0","30","283","283","5,237615","0"
"07.05.2018 13:15:22","0","25","283","283","6,59635","0"
"07.05.2018 13:15:48","0","22,5","851","851","5,201685","0"
"07.05.2018 13:16:14","0","23,5","283","283","7,290757","0"
"07.05.2018 13:16:40","0","27","851","851","4,37885","0"
"07.05.2018 13:17:06","0","25","283","283","13,46031","0"
"07.05.2018 13:17:40","0","28","283","283","14,47687","0"
"07.05.2018 13:18:06","0","23","851","851","7,614543","0"
"07.05.2018 13:18:32","0","31,5","283","283","4,030737","0"
"07.05.2018 13:18:59","0","30","283","283","1,767092","0"
"07.05.2018 13:19:25","0","27,5","851","851","7,692708","0"
"07.05.2018 13:19:51","0","30","851","851","2,496731","0"
"07.05.2018 13:20:17","0","22,5","851","851","8,742749","0"
"07.05.2018 13:20:43","0","24,5","851","851","10,49537","0"
"07.05.2018 13:21:09","0","30,5","851","851","3,355825","0"
"07.05.2018 13:21:43","0","30","283","283","3,53854","0"
"07.05.2018 13:22:09","0","44,5","851","851","9,795206","0"
"07.05.2018 13:22:35","0","22,5","851","851","3,375943","0"
"07.05.2018 13:23:02","0","24,5","851","851","7,620579","0"
"07.05.2018 13:23:28","0","25","283","283","15,90719","0"
"07.05.2018 13:23:54","0","30","283","283","3,989648","0"
"07.05.2018 13:24:20","0","29,5","851","851","6,101471","0"
"07.05.2018 13:24:46","0","29,5","283","283","5,175933","0"
"07.05.2018 13:25:12","0","28","851","851","7,086572","0"
"07.05.2018 13:25:38","0","28,5","850","850","8,724265","0"
"07.05.2018 13:26:04","0","30,5","283","283","8,328694","0"
"07.05.2018 13:26:30","0","25,5","283","283","7,088698","0"
"07.05.2018 13:26:56","0","23","283","283","7,751072","0"
"07.05.2018 13:27:22","0","28,5","851","851","9,054391","0"
"07.05.2018 13:27:49","0","23,5","851","851","4,31743","0"
"07.05.2018 13:28:31","0","30","283","283","6,206857","0"
"07.05.2018 13:28:57","0","28","851","851","3,041508","0"
"07.05.2018 13:29:23","0","23,5","283","283","7,798211","0"
"07.05.2018 13:29:57","0","29,5","283","283","5,688105","0"
"07.05.2018 13:30:23","0","27,5","283","283","6,588879","0"
"07.05.2018 13:30:50","0","23","850","850","8,203486","0"
"07.05.2018 13:31:16","0","30","283","283","3,262952","0"
"07.05.2018 13:31:42","0","25,5","283","283","5,30229","0"
"07.05.2018 13:32:08","0","29,5","283","283","5,134313","0"
"07.05.2018 13:32:34","0","23","851","851","8,046774","0"
"07.05.2018 13:33:00","0","29,5","851","851","5,961481","0"
"07.05.2018 13:33:26","0","25","283","283","5,706386","0"
"07.05.2018 13:33:52","0","23,5","283","283","8,335724","0"
"07.05.2018 13:34:18","0","28","851","851","3,409785","0"
"07.05.2018 13:34:44","0","28","851","851","4,760266","0"
"07.05.2018 13:35:10","0","28","283","283","5,442143","0"
"07.05.2018 13:35:37","0","27,5","851","851","7,027308","0"
"07.05.2018 13:36:03","0","26","283","283","2,39222","0"
"07.05.2018 13:36:29","0","27,5","851","851","7,632232","0"
"07.05.2018 13:36:55","0","28,5","283","283","6,081946","0"
"07.05.2018 13:37:21","0","29,5","283","283","15,73162","0"
"07.05.2018 13:37:55","0","29,5","851","851","9,819138","0"
"07.05.2018 13:38:21","0","23","851","851","8,853312","0"
