"CallStartTime","PacketLossRate","RoundTripLatencyInMs","PacketsSent","PacketsReceived","AverageJitterInMs","PacketReorderRatio"
"10.12.2018 11:26:01","0,00117785630153121","18","849","848","7,888545","0"
"10.12.2018 11:26:28","0,00117785630153121","18","849","848","8,963621","0"
"10.12.2018 11:26:54","0,00117785630153121","18,5","849","848","6,086842","0"
"10.12.2018 11:27:21","0,00117785630153121","17,5","849","848","6,916902","0"
"10.12.2018 11:27:47","0,00117785630153121","18","849","848","6,609162","0"
"10.12.2018 11:28:15","0,00117785630153121","19","849","848","6,481321","0"
"10.12.2018 11:28:41","0,00117785630153121","17,5","849","848","6,815865","0"
"10.12.2018 11:29:08","0,00117785630153121","16,5","849","848","8,98173","0"
"10.12.2018 11:29:36","0,0094228504122497","18","849","841","6,656434","0"
"10.12.2018 11:30:02","0,00235571260306243","18","849","847","8,02454","0"
"10.12.2018 11:30:29","0,00117785630153121","17,5","849","848","9,009426","0"
"10.12.2018 11:30:53","0,00117785630153121","18","849","848","14,89615","0"
"10.12.2018 11:31:19","0,00353356890459364","17,5","849","846","20,26487","0"
"10.12.2018 11:31:47","0,00117785630153121","18,5","849","848","7,683113","0"
"10.12.2018 11:32:14","0,00117785630153121","17","849","848","7,908732","0"
"10.12.2018 11:32:40","0","18","848","848","6,572923","0"
"10.12.2018 11:33:07","0,00117785630153121","26","849","848","12,18341","0"
"10.12.2018 11:33:33","0,00117785630153121","18","849","848","6,999411","0"
"10.12.2018 11:34:00","0,00117785630153121","18","849","848","6,097472","0"
"10.12.2018 11:34:27","0,00117785630153121","16,5","849","848","12,10468","0"
"10.12.2018 11:34:54","0,00117785630153121","17","849","848","6,723638","0"
"10.12.2018 11:35:21","0,00117785630153121","81,5","849","848","78,57179","0"
"10.12.2018 11:35:48","0,00117785630153121","405","849","848","193,9938","0"
"10.12.2018 11:36:14","0,00117785630153121","26","849","848","11,60436","0"
"10.12.2018 11:36:38","0,00117785630153121","17,5","849","848","6,257604","0"
"10.12.2018 11:37:05","0,00117785630153121","18,5","849","848","7,284061","0"
"10.12.2018 11:37:33","0,00117785630153121","16","849","848","6,324481","0"
"10.12.2018 11:37:59","0,00117785630153121","18,5","849","848","7,203537","0"
"10.12.2018 11:38:26","0,00117785630153121","17,5","849","848","7,590711","0"
"10.12.2018 11:38:53","0,00235571260306243","37","849","847","19,91444","0"
"10.12.2018 11:39:19","0,00117785630153121","20","849","848","17,94853","0"
"10.12.2018 11:39:46","0,00117785630153121","16,5","849","848","9,24897","0"
"10.12.2018 11:40:12","0,00235571260306243","17,5","849","847","9,339602","0"
"10.12.2018 11:40:40","0,00117785630153121","23","849","848","10,36724","0"
"10.12.2018 11:41:07","0,00117785630153121","17,5","849","848","7,948572","0"
"10.12.2018 11:41:34","0,00588928150765607","30,5","849","844","27,95608","0"
"10.12.2018 11:42:01","0,00117785630153121","19","849","848","13,8886","0"
"10.12.2018 11:42:25","0,00117785630153121","19","849","848","6,218621","0"
"10.12.2018 11:42:52","0,00117785630153121","19,5","849","848","7,179935","0"
"10.12.2018 11:43:18","0,00117785630153121","17","849","848","6,715373","0"
"10.12.2018 11:43:45","0,00117785630153121","18,5","849","848","6,486855","0"
"10.12.2018 11:44:11","0,00117785630153121","18,5","849","848","6,532585","0"
"10.12.2018 11:44:37","0,00117785630153121","18","849","848","6,836401","0"
"10.12.2018 11:45:04","0,00117785630153121","18,5","849","848","6,540566","0"
"10.12.2018 11:45:31","0,00117785630153121","18,5","849","848","5,986579","0"
"10.12.2018 11:45:58","0,00117785630153121","20","849","848","7,818053","0"
"10.12.2018 11:46:24","0,00117785630153121","17,5","849","848","6,14648","0"
"10.12.2018 11:46:51","0,00117785630153121","17","849","848","6,7796","0"
"10.12.2018 11:47:17","0,00117785630153121","17,5","849","848","7,8249","0"
"10.12.2018 11:47:44","0,00117785630153121","19","849","848","7,264052","0"
"10.12.2018 11:48:07","0,00117785630153121","18","849","848","9,550996","0"
"10.12.2018 11:48:33","0,00117785630153121","19,5","849","848","6,779762","0"
"10.12.2018 11:49:01","0,00117785630153121","18","849","848","6,485279","0"
"10.12.2018 11:49:27","0,00117785630153121","19,5","849","848","7,37705","0"
"10.12.2018 11:49:54","0,00117785630153121","19","849","848","7,183568","0"
"10.12.2018 11:50:20","0,00353356890459364","18","849","846","11,98697","0"
"10.12.2018 11:50:46","0,00117785630153121","19","849","848","6,493251","0"
"10.12.2018 11:51:13","0,00117785630153121","26","849","848","14,28043","0"
"10.12.2018 11:51:39","0,00117785630153121","25,5","849","848","9,641321","0"
"10.12.2018 11:52:06","0,00117785630153121","18,5","849","848","7,013639","0"
"10.12.2018 11:52:34","0,00117785630153121","18","849","848","6,615542","0"
"10.12.2018 11:53:01","0","18","848","848","7,790459","0"
"10.12.2018 11:53:27","0,00117785630153121","19,5","849","848","5,996212","0"
"10.12.2018 11:53:50","0,00117785630153121","20","849","848","18,91696","0"
"10.12.2018 11:54:17","0,00117785630153121","18,5","849","848","22,12406","0"
"10.12.2018 11:54:43","0,00117785630153121","19,5","849","848","7,524312","0"
"10.12.2018 11:55:10","0,00117785630153121","19","849","848","6,477077","0"
"10.12.2018 11:55:36","0,00117785630153121","20,5","849","848","8,55785","0"
"10.12.2018 11:56:03","0,00117785630153121","18,5","849","848","8,194214","0"
"10.12.2018 11:56:29","0,00117785630153121","18","849","848","6,896014","0"
"10.12.2018 11:56:55","0,00117785630153121","18,5","849","848","6,615805","0"
"10.12.2018 11:57:29","0,00117785630153121","19,5","849","848","8,708985","0"
"10.12.2018 11:57:56","0,00117785630153121","19,5","849","848","10,50386","0"
"10.12.2018 11:58:22","0,00117785630153121","19","849","848","6,906147","0"
"10.12.2018 11:58:49","0,00117785630153121","21","849","848","19,0758","0"
"10.12.2018 11:59:15","0,00117785630153121","18,5","849","848","8,34932","0"
"10.12.2018 11:59:38","0,00117785630153121","18","849","848","7,470085","0"
"10.12.2018 12:00:04","0,00235571260306243","18","849","847","6,833095","0"
"10.12.2018 12:00:31","0,00117785630153121","19,5","849","848","9,463393","0"
"10.12.2018 12:00:57","0,00117785630153121","22,5","849","848","7,250725","0"
"10.12.2018 12:01:24","0,00117785630153121","19","849","848","12,50819","0"
"10.12.2018 12:01:50","0,00117785630153121","17","849","848","35,88627","0"
"10.12.2018 12:02:17","0,00117785630153121","16,5","849","848","6,758575","0"
"10.12.2018 12:02:43","0,00117785630153121","17","849","848","8,077684","0"
"10.12.2018 12:03:11","0,00117785630153121","18","849","848","6,840716","0"
"10.12.2018 12:03:37","0,00117785630153121","18,5","849","848","5,98882","0"
"10.12.2018 12:04:04","0,00117785630153121","18","849","848","6,858659","0"
"10.12.2018 12:04:30","0,00117785630153121","18","849","848","7,496222","0"
"10.12.2018 12:04:58","0,00117785630153121","25,5","849","848","12,64542","0"
"10.12.2018 12:05:21","0,00117785630153121","18,5","849","848","6,901743","0"
"10.12.2018 12:05:48","0,00235571260306243","16,5","849","847","9,219834","0"
"10.12.2018 12:06:14","0,00117785630153121","17","849","848","7,719052","0"
"10.12.2018 12:06:41","0,00117785630153121","19","849","848","8,108379","0"
"10.12.2018 12:07:07","0,00117785630153121","19","849","848","7,686076","0"
"10.12.2018 12:07:34","0,00117785630153121","16,5","849","848","6,620877","0"
"10.12.2018 12:08:01","0,00117785630153121","18,5","849","848","8,925405","0"
"10.12.2018 12:08:28","0,00117785630153121","17","849","848","7,103359","0"
"10.12.2018 12:08:54","0,00117785630153121","21,5","849","848","7,663363","0"
"10.12.2018 12:09:22","0,00117785630153121","18,5","849","848","7,018204","0"
"10.12.2018 12:09:48","0,00117785630153121","18,5","849","848","8,066922","0"
"10.12.2018 12:10:16","0,00235571260306243","23","849","847","10,02784","0"
"10.12.2018 12:10:42","0,00117785630153121","17,5","849","848","8,502095","0"
"10.12.2018 12:11:05","0,00117785630153121","18","849","848","7,437922","0"
"10.12.2018 12:11:32","0,00117785630153121","21","849","848","6,651223","0"
"10.12.2018 12:11:58","0,00235571260306243","43","849","847","16,7088","0"
"10.12.2018 12:12:25","0,00117785630153121","18,5","849","848","20,45045","0"
"10.12.2018 12:12:51","0,00117785630153121","18,5","849","848","6,622687","0"
"10.12.2018 12:13:18","0,00117785630153121","26,5","849","848","178,9097","0"
"10.12.2018 12:13:44","0,00117785630153121","241,5","849","848","364,8193","0"
"10.12.2018 12:14:11","0,00353356890459364","403","849","846","428,2986","0"
"10.12.2018 12:14:38","0,00117785630153121","345,5","849","848","457,5155","0"
"10.12.2018 12:15:05","0,00117785630153121","23,5","849","848","8,041702","0"
"10.12.2018 12:15:32","0,00117785630153121","18","849","848","10,91955","0"
"10.12.2018 12:15:58","0,00117785630153121","21","849","848","7,913252","0"
"10.12.2018 12:16:25","0,00235571260306243","29,5","849","847","12,17151","0"
"10.12.2018 12:16:48","0,00117785630153121","32,5","849","848","27,57483","0"
"10.12.2018 12:17:14","0,00117785630153121","18,5","849","848","7,02565","0"
"10.12.2018 12:17:42","0,00117785630153121","20","849","848","8,820832","0"
"10.12.2018 12:18:09","0,00117785630153121","19,5","849","848","10,25629","0"
"10.12.2018 12:18:35","0,00117785630153121","24","849","848","8,495146","0"
"10.12.2018 12:19:02","0,00117785630153121","19","849","848","7,024596","0"
"10.12.2018 12:19:28","0,00117785630153121","20","849","848","6,852218","0"
"10.12.2018 12:19:55","0,00117785630153121","19","849","848","6,830357","0"
"10.12.2018 12:20:21","0,00235571260306243","20","849","847","13,5681","0"
"10.12.2018 12:20:48","0,00471142520612485","17","849","845","14,46299","0"
"10.12.2018 12:21:14","0,00117785630153121","18","849","848","6,766263","0"
"10.12.2018 12:21:40","0,00117785630153121","19","849","848","7,015433","0"
