"remoteudpport","minroundtrip","successrttcount","remoteip","answerreceived","averagertt","maxroundtrip"
"3478","20","5","13.107.8.2","True","26","33"
"3478","22","5","13.107.8.2","True","24","27"
"3478","20","5","13.107.8.2","True","40","70"
"3478","25","5","13.107.8.2","True","27","29"
"3478","19","5","13.107.8.2","True","22","25"
"3478","20","5","13.107.8.2","True","60","196"
"3478","21","5","13.107.8.2","True","24","29"
"3478","19","5","13.107.8.2","True","29","39"
"3478","24","5","13.107.8.2","True","83","257"
"3478","19","5","13.107.8.2","True","24","33"
"3478","19","5","13.107.8.2","True","74","282"
"3478","23","5","13.107.8.2","True","79","286"
"3478","20","5","13.107.8.2","True","81","280"
"3478","19","5","13.107.8.2","True","20","21"
"3478","20","5","13.107.8.2","True","28","43"
"3478","19","5","13.107.8.2","True","106","429"
"3478","20","5","13.107.8.2","True","225","512"
"3478","20","5","13.107.8.2","True","22","26"
"3478","20","5","13.107.8.2","True","21","22"
"3478","21","5","13.107.8.2","True","74","271"
"3478","19","5","13.107.8.2","True","23","29"
"3478","16","4","13.107.8.2","True","87","290"
"3478","33","5","13.107.8.2","True","109","282"
"3478","19","5","13.107.8.2","True","24","30"
"3478","20","5","13.107.8.2","True","91","290"
"3478","21","5","13.107.8.2","True","33","53"
"3478","19","5","13.107.8.2","True","31","72"
"3478","19","5","13.107.8.2","True","25","38"
"3478","24","5","13.107.8.2","True","35","53"
"3478","19","5","13.107.8.2","True","77","282"
"3478","21","5","13.107.8.2","True","47","80"
"3478","20","5","13.107.8.2","True","111","283"
"3478","22","5","13.107.8.2","True","34","70"
"3478","20","5","13.107.8.2","True","70","246"
"3478","20","5","13.107.8.2","True","33","63"
"3478","18","5","13.107.8.2","True","74","263"
"3478","20","5","13.107.8.2","True","83","268"
"3478","19","5","13.107.8.2","True","31","53"
"3478","27","5","13.107.8.2","True","63","173"
"3478","21","5","13.107.8.2","True","43","67"
"3478","25","5","13.107.8.2","True","34","41"
"3478","20","5","13.107.8.2","True","65","214"
"3478","24","5","13.107.8.2","True","35","54"
"3478","26","5","13.107.8.2","True","79","279"
"3478","1","4","13.107.8.2","True","154","336"
"3478","20","5","13.107.8.2","True","29","49"
"3478","27","5","13.107.8.2","True","42","57"
"3478","20","5","13.107.8.2","True","70","253"
"3478","19","5","13.107.8.2","True","26","35"
"3478","19","5","13.107.8.2","True","27","38"
"3478","21","5","13.107.8.2","True","42","86"
"3478","20","5","13.107.8.2","True","28","39"
"3478","19","5","13.107.8.2","True","75","263"
"3478","22","5","13.107.8.2","True","116","302"
"3478","23","5","13.107.8.2","True","31","39"
"3478","22","5","13.107.8.2","True","54","149"
"3478","20","5","13.107.8.2","True","39","96"
"3478","18","5","13.107.8.2","True","38","71"
"3478","21","5","13.107.8.2","True","25","34"
"3478","20","5","13.107.8.2","True","23","26"
"3478","33","5","13.107.8.2","True","40","52"
"3478","20","5","13.107.8.2","True","26","36"
"3478","19","5","13.107.8.2","True","76","287"
"3478","20","5","13.107.8.2","True","36","64"
"3478","23","5","13.107.8.2","True","76","283"
"3478","20","5","13.107.8.2","True","36","73"
"3478","19","5","13.107.8.2","True","88","358"
"3478","20","5","13.107.8.2","True","25","31"
"3478","20","5","13.107.8.2","True","73","222"
"3478","18","5","13.107.8.2","True","23","28"
"3478","19","5","13.107.8.2","True","21","25"
"3478","18","5","13.107.8.2","True","29","42"
"3478","19","5","13.107.8.2","True","23","33"
"3478","19","5","13.107.8.2","True","89","152"
