"remoteudpport","minroundtrip","successrttcount","remoteip","answerreceived","averagertt","maxroundtrip"
"3478","20","5","13.107.8.2","True","23","28"
"3478","20","5","13.107.8.2","True","22","23"
"3478","21","5","13.107.8.2","True","24","32"
"3478","20","5","13.107.8.2","True","23","26"
"3478","20","5","13.107.8.2","True","23","28"
"3478","21","5","13.107.8.2","True","23","25"
"3478","20","5","13.107.8.2","True","26","38"
"3478","21","5","13.107.8.2","True","26","30"
"3478","20","5","13.107.8.2","True","21","23"
"3478","23","5","13.107.8.2","True","25","29"
"3478","20","5","13.107.8.2","True","24","34"
"3478","20","5","13.107.8.2","True","24","32"
"3478","21","5","13.107.8.2","True","31","43"
"3478","22","5","13.107.8.2","True","23","24"
"3478","25","5","13.107.8.2","True","60","109"
"3478","20","5","13.107.8.2","True","32","64"
"3478","23","5","13.107.8.2","True","30","44"
"3478","20","5","13.107.8.2","True","24","34"
"3478","20","5","13.107.8.2","True","22","25"
"3478","20","5","13.107.8.2","True","27","49"
"3478","20","5","13.107.8.2","True","22","25"
"3478","22","5","13.107.8.2","True","24","28"
"3478","19","5","13.107.8.2","True","24","29"
"3478","22","5","13.107.8.2","True","26","29"
"3478","21","5","13.107.8.2","True","23","28"
"3478","22","5","13.107.8.2","True","23","24"
"3478","19","5","13.107.8.2","True","21","23"
"3478","43","5","13.107.8.2","True","52","64"
"3478","36","5","13.107.8.2","True","43","50"
"3478","52","5","13.107.8.2","True","54","55"
"3478","22","5","13.107.8.2","True","24","27"
"3478","21","5","13.107.8.2","True","26","29"
"3478","21","5","13.107.8.2","True","23","25"
"3478","20","5","13.107.8.2","True","23","28"
"3478","20","5","13.107.8.2","True","26","38"
"3478","22","5","13.107.8.2","True","26","32"
"3478","22","5","13.107.8.2","True","26","27"
"3478","22","5","13.107.8.2","True","24","25"
"3478","22","5","13.107.8.2","True","24","26"
"3478","22","5","13.107.8.2","True","31","59"
"3478","24","5","13.107.8.2","True","32","62"
"3478","24","5","13.107.8.2","True","26","29"
"3478","22","5","13.107.8.2","True","25","33"
"3478","21","5","13.107.8.2","True","22","24"
"3478","22","5","13.107.8.2","True","27","41"
"3478","22","5","13.107.8.2","True","32","62"
"3478","20","5","13.107.8.2","True","23","27"
"3478","22","5","13.107.8.2","True","26","31"
"3478","24","5","13.107.8.2","True","27","32"
"3478","21","5","13.107.8.2","True","23","25"
"3478","20","5","13.107.8.2","True","23","27"
"3478","25","5","13.107.8.2","True","26","29"
"3478","22","5","13.107.8.2","True","25","29"
"3478","20","5","13.107.8.2","True","21","23"
"3478","22","5","13.107.8.2","True","24","27"
"3478","21","5","13.107.8.2","True","22","24"
"3478","21","5","13.107.8.2","True","25","29"
"3478","24","5","13.107.8.2","True","25","27"
"3478","21","5","13.107.8.2","True","25","30"
"3478","22","5","13.107.8.2","True","25","30"
"3478","21","5","13.107.8.2","True","29","55"
"3478","20","5","13.107.8.2","True","22","26"
"3478","25","5","13.107.8.2","True","29","34"
"3478","21","5","13.107.8.2","True","28","45"
"3478","20","5","13.107.8.2","True","22","24"
"3478","29","5","13.107.8.2","True","33","45"
"3478","20","5","13.107.8.2","True","26","41"
"3478","20","5","13.107.8.2","True","21","22"
"3478","22","5","13.107.8.2","True","23","25"
"3478","22","5","13.107.8.2","True","25","27"
"3478","23","5","13.107.8.2","True","31","58"
"3478","25","5","13.107.8.2","True","35","66"
"3478","23","5","13.107.8.2","True","25","28"
"3478","22","5","13.107.8.2","True","25","27"
"3478","24","5","13.107.8.2","True","38","67"
"3478","22","5","13.107.8.2","True","25","30"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","26","31"
"3478","22","5","13.107.8.2","True","25","27"
"3478","22","5","13.107.8.2","True","24","27"
"3478","21","5","13.107.8.2","True","22","23"
"3478","28","5","13.107.8.2","True","34","49"
"3478","20","5","13.107.8.2","True","29","56"
"3478","21","5","13.107.8.2","True","23","27"
"3478","21","5","13.107.8.2","True","24","30"
"3478","23","5","13.107.8.2","True","27","30"
"3478","21","5","13.107.8.2","True","23","25"
"3478","25","5","13.107.8.2","True","37","75"
"3478","21","5","13.107.8.2","True","23","25"
"3478","23","5","13.107.8.2","True","25","26"
"3478","24","5","13.107.8.2","True","31","55"
"3478","23","5","13.107.8.2","True","36","58"
"3478","23","5","13.107.8.2","True","25","29"
"3478","22","5","13.107.8.2","True","24","28"
"3478","21","5","13.107.8.2","True","24","25"
"3478","21","5","13.107.8.2","True","32","57"
"3478","21","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","22","23"
"3478","20","5","13.107.8.2","True","23","27"
"3478","23","5","13.107.8.2","True","25","29"
"3478","24","5","13.107.8.2","True","24","25"
"3478","23","5","13.107.8.2","True","26","33"
"3478","21","5","13.107.8.2","True","33","77"
"3478","20","5","13.107.8.2","True","22","25"
"3478","22","5","13.107.8.2","True","25","31"
"3478","26","5","13.107.8.2","True","39","53"
"3478","21","5","13.107.8.2","True","25","35"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","29","56"
"3478","20","5","13.107.8.2","True","21","24"
"3478","21","5","13.107.8.2","True","24","27"
"3478","22","5","13.107.8.2","True","25","31"
"3478","21","5","13.107.8.2","True","30","52"
"3478","23","5","13.107.8.2","True","53","136"
"3478","24","5","13.107.8.2","True","42","70"
"3478","20","5","13.107.8.2","True","22","25"
"3478","21","5","13.107.8.2","True","22","25"
"3478","21","5","13.107.8.2","True","24","29"
"3478","20","5","13.107.8.2","True","67","158"
"3478","20","5","13.107.8.2","True","20","22"
"3478","21","5","13.107.8.2","True","33","53"
"3478","20","5","13.107.8.2","True","23","26"
"3478","22","5","13.107.8.2","True","23","24"
"3478","21","5","13.107.8.2","True","23","26"
"3478","29","5","13.107.8.2","True","54","111"
"3478","20","5","13.107.8.2","True","31","68"
"3478","20","5","13.107.8.2","True","26","35"
"3478","21","5","13.107.8.2","True","26","44"
"3478","20","5","13.107.8.2","True","22","24"
"3478","23","5","13.107.8.2","True","26","31"
"3478","21","5","13.107.8.2","True","29","53"
"3478","20","5","13.107.8.2","True","27","44"
"3478","20","5","13.107.8.2","True","21","24"
"3478","20","5","13.107.8.2","True","24","30"
"3478","20","5","13.107.8.2","True","33","74"
"3478","24","5","13.107.8.2","True","27","28"
"3478","21","5","13.107.8.2","True","23","29"
"3478","21","5","13.107.8.2","True","25","32"
"3478","20","5","13.107.8.2","True","30","68"
"3478","20","5","13.107.8.2","True","31","54"
"3478","21","5","13.107.8.2","True","30","58"
"3478","23","5","13.107.8.2","True","26","30"
"3478","23","5","13.107.8.2","True","33","44"
"3478","20","5","13.107.8.2","True","22","26"
"3478","22","5","13.107.8.2","True","59","196"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","21","22"
"3478","20","5","13.107.8.2","True","25","28"
"3478","20","5","13.107.8.2","True","23","25"
"3478","20","5","13.107.8.2","True","23","26"
"3478","22","5","13.107.8.2","True","32","69"
"3478","20","5","13.107.8.2","True","22","25"
"3478","20","5","13.107.8.2","True","23","28"
"3478","21","5","13.107.8.2","True","25","31"
"3478","21","5","13.107.8.2","True","32","50"
"3478","23","5","13.107.8.2","True","30","50"
"3478","20","5","13.107.8.2","True","23","29"
"3478","20","5","13.107.8.2","True","22","25"
"3478","21","5","13.107.8.2","True","21","23"
"3478","22","5","13.107.8.2","True","25","27"
"3478","20","5","13.107.8.2","True","23","25"
"3478","22","5","13.107.8.2","True","25","29"
"3478","23","5","13.107.8.2","True","29","36"
"3478","21","5","13.107.8.2","True","23","25"
"3478","23","5","13.107.8.2","True","26","29"
"3478","23","5","13.107.8.2","True","31","53"
"3478","21","5","13.107.8.2","True","33","70"
"3478","20","5","13.107.8.2","True","31","45"
"3478","23","5","13.107.8.2","True","32","45"
"3478","22","5","13.107.8.2","True","25","30"
"3478","21","5","13.107.8.2","True","25","31"
"3478","22","5","13.107.8.2","True","23","23"
"3478","20","5","13.107.8.2","True","23","25"
"3478","20","5","13.107.8.2","True","21","21"
"3478","22","5","13.107.8.2","True","24","26"
"3478","21","5","13.107.8.2","True","22","24"
"3478","21","5","13.107.8.2","True","23","25"
"3478","21","5","13.107.8.2","True","25","33"
"3478","20","5","13.107.8.2","True","33","56"
"3478","20","5","13.107.8.2","True","24","28"
"3478","21","5","13.107.8.2","True","50","92"
"3478","21","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","22","23"
"3478","20","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","22","26"
"3478","20","5","13.107.8.2","True","29","58"
"3478","21","5","13.107.8.2","True","22","24"
"3478","20","5","13.107.8.2","True","23","31"
"3478","21","5","13.107.8.2","True","22","23"
"3478","22","5","13.107.8.2","True","45","127"
"3478","21","5","13.107.8.2","True","23","29"
"3478","20","5","13.107.8.2","True","23","25"
"3478","21","5","13.107.8.2","True","23","24"
"3478","20","5","13.107.8.2","True","21","23"
"3478","21","5","13.107.8.2","True","26","43"
"3478","40","5","13.107.8.2","True","48","64"
"3478","20","5","13.107.8.2","True","22","24"
"3478","22","5","13.107.8.2","True","29","35"
"3478","19","5","13.107.8.2","True","29","43"
"3478","21","5","13.107.8.2","True","23","26"
"3478","20","5","13.107.8.2","True","21","22"
"3478","20","5","13.107.8.2","True","21","24"
"3478","20","5","13.107.8.2","True","24","29"
"3478","20","5","13.107.8.2","True","32","65"
"3478","21","5","13.107.8.2","True","23","28"
"3478","22","5","13.107.8.2","True","25","28"
"3478","21","5","13.107.8.2","True","23","24"
"3478","21","5","13.107.8.2","True","23","25"
"3478","20","5","13.107.8.2","True","35","78"
"3478","20","5","13.107.8.2","True","22","23"
"3478","21","5","13.107.8.2","True","24","25"
"3478","20","5","13.107.8.2","True","21","21"
"3478","22","5","13.107.8.2","True","24","25"
"3478","19","5","13.107.8.2","True","21","24"
"3478","20","5","13.107.8.2","True","22","26"
"3478","19","5","13.107.8.2","True","21","24"
"3478","21","5","13.107.8.2","True","25","30"
"3478","22","5","13.107.8.2","True","23","24"
"3478","21","5","13.107.8.2","True","25","34"
"3478","20","5","13.107.8.2","True","23","25"
"3478","20","5","13.107.8.2","True","22","23"
"3478","20","5","13.107.8.2","True","23","26"
"3478","20","5","13.107.8.2","True","24","27"
"3478","21","5","13.107.8.2","True","22","24"
"3478","23","5","13.107.8.2","True","25","27"
"3478","20","5","13.107.8.2","True","21","22"
"3478","22","5","13.107.8.2","True","35","77"
"3478","20","5","13.107.8.2","True","21","23"
"3478","19","5","13.107.8.2","True","21","23"
"3478","20","5","13.107.8.2","True","25","40"
"3478","20","5","13.107.8.2","True","24","26"
"3478","21","5","13.107.8.2","True","22","23"
"3478","20","5","13.107.8.2","True","21","22"
